epoch,pde_loss,bc_loss,ic_loss,obs_loss,total_loss
10,3.593966484069824,30.569360733032227,9.947583198547363,9.08718490600586,49.78382873535156
20,5.263779163360596,29.91763687133789,9.500489234924316,8.560166358947754,48.24148178100586
30,8.273456573486328,29.22757339477539,9.0392484664917,8.020635604858398,46.701133728027344
40,12.414352416992188,28.460790634155273,8.540993690490723,7.441770553588867,45.06427001953125
50,19.91829490661621,27.58354377746582,7.9891486167907715,6.80473518371582,43.37334442138672
60,32.42100143432617,26.572185516357422,7.378367900848389,6.105223178863525,41.67682647705078
70,43.81830978393555,25.419897079467773,6.718212604522705,5.3573150634765625,39.68634033203125
80,70.55462646484375,24.14029312133789,6.03381872177124,4.5954976081848145,38.297340393066406
90,119.82999420166016,22.766767501831055,5.360578536987305,3.8683786392211914,37.987220764160156
100,326.62835693359375,21.347021102905273,4.733763217926025,3.224524736404419,45.6367301940918
110,1492.60595703125,19.930461883544922,4.175255298614502,2.6962196826934814,101.43223571777344
120,7487.509765625,18.55065155029297,3.6822166442871094,2.2873339653015137,398.89569091796875
130,26914.52734375,17.212886810302734,3.226321220397949,1.9722328186035156,1368.137939453125
140,61632.23046875,15.89750862121582,2.7684097290039062,1.7089425325393677,3101.986328125
150,90375.515625,14.578845977783203,2.28132700920105,1.459376335144043,4537.09521484375
160,88155.0859375,13.24878978729248,1.7674323320388794,1.204086422920227,4423.97509765625
170,59580.703125,11.93117904663086,1.2613362073898315,0.9454270005226135,2993.1728515625
180,29683.162109375,10.67615032196045,0.8150486946105957,0.7008988261222839,1496.3502197265625
190,11864.720703125,9.535828590393066,0.4715355932712555,0.4924450218677521,603.73583984375
200,4478.841796875,8.542773246765137,0.24513250589370728,0.33847180008888245,233.06846618652344
210,2565.60107421875,7.711256504058838,0.12421644479036331,0.2487083524465561,136.36424255371094
220,5005.12841796875,7.04586935043335,0.08439847081899643,0.2169010043144226,257.6036071777344
230,4881.7041015625,6.538248538970947,0.09776747226715088,0.22211986780166626,250.94334411621094
240,10636.45703125,6.163461685180664,0.1399613916873932,0.24446815252304077,538.3707275390625
250,4839.763671875,5.888274192810059,0.19331133365631104,0.27336975932121277,248.34315490722656
260,4722.20849609375,5.684800148010254,0.24618865549564362,0.30208471417427063,242.34349060058594
270,5347.4443359375,5.534779071807861,0.2920953929424286,0.3245474100112915,273.5236511230469
280,5703.40869140625,5.424457550048828,0.32868900895118713,0.3381146192550659,291.2616882324219
290,5572.33544921875,5.341813564300537,0.356325626373291,0.3439289629459381,284.65887451171875
300,5370.3671875,5.277914047241211,0.37648382782936096,0.3439473807811737,274.5167236328125
310,5769.830078125,5.227031707763672,0.3908291757106781,0.3395291864871979,294.44891357421875
320,6434.21923828125,5.185117244720459,0.40092357993125916,0.3319205939769745,327.62890625
330,7757.7255859375,5.149050712585449,0.4081028997898102,0.32236188650131226,393.76580810546875
340,23288.05078125,5.116708755493164,0.41337940096855164,0.31173717975616455,1170.244384765625
350,154228.140625,5.086772441864014,0.41745463013648987,0.3005722463130951,7717.21240234375
360,1021735.5,5.058358669281006,0.4208090603351593,0.2892321050167084,51092.546875
370,3714351.5,5.030880451202393,0.42376065254211426,0.27796992659568787,185723.3125
380,2948392.5,5.003998279571533,0.4265022575855255,0.2669222056865692,147425.3125
390,424086.4375,4.9775238037109375,0.42914512753486633,0.2561613619327545,21209.984375
400,4518523.5,4.951348304748535,0.43175211548805237,0.24572889506816864,225931.8125
410,2865964.0,4.925422191619873,0.43435394763946533,0.23564429581165314,143303.796875
420,856839.8125,4.899721145629883,0.4369639456272125,0.22591309249401093,42847.5546875
