soil_type,alpha,n,theta_r,theta_s,Ks,Ss
sand,3.5,2.68,0.045,0.43,712.8,1e-4
loamy_sand,2.9,2.28,0.057,0.41,350.2,1e-4
sandy_loam,1.9,1.89,0.065,0.41,106.1,1e-4
loam,1.5,1.56,0.078,0.43,24.96,1e-4
silt_loam,1.0,1.41,0.067,0.45,6.0,1e-4
sandy_clay_loam,1.1,1.48,0.1,0.39,31.44,1e-4
clay_loam,0.8,1.31,0.095,0.41,6.24,1e-4
silty_clay_loam,0.8,1.23,0.089,0.43,1.68,1e-4
sandy_clay,0.6,1.23,0.1,0.38,2.88,1e-4
silty_clay,0.5,1.09,0.07,0.36,0.48,1e-4
clay,0.3,1.09,0.068,0.38,4.8,1e-4 
