x,y,z,t,type,value
0,0,0,0,head,0.0
0,0,10,0,flux,0.0
0,0,0,0.25,flux,0.000694444
0,0,0,0.5,flux,0.001388889
0,0,0,0.75,flux,0.002083333
0,0,0,1.0,flux,0.002777778 
