x,y,z,t,type,value
0,0,0,0,head,0.65
0,0,3,0,head,0.0
0,2,0,0,flux,0.0
0,2,3,0,flux,0.0
0,0,0,0,flux,0.000041111
0,0,0,0.25,flux,0.000041111
0,0,0,0.5,flux,0.000041111
0,0,0,0.75,flux,0.000041111
0,0,0,1.0,flux,0.000041111 
