rar_iter,epoch,pde_loss,bc_loss,ic_loss,train_loss,val_loss,theta_loss,total_loss,learning_rate,pde_weight,bc_weight,ic_weight,obs_weight,theta_weight
1,10,2.742433163922204e-05,0.8652498126029968,5.703639030456543,0.41547197103500366,0.41503000259399414,0.00519276550039649,225.0736423263693,0.002,1.0,30.0,30.0,8.0,40.0
1,20,0.01934176111522539,0.8130751252174377,3.6580076217651367,0.394270122051239,0.3932051360607147,0.002033113269135356,150.54827079019,0.002,1.0,30.0,30.0,8.0,40.0
1,30,0.0014600444191586307,0.8227277398109436,1.2298426628112793,0.21244335174560547,0.20668531954288483,0.0008843552204780281,66.82025982946453,0.002,1.0,30.0,30.0,8.0,40.0
1,40,0.0038532816312138083,0.8100844621658325,0.6303879022598267,0.2165144979953766,0.21132194995880127,0.0022275049705058336,48.15850534381536,0.002,1.0,30.0,30.0,8.0,40.0
1,50,0.02231841433739579,0.8107213973999023,0.22026848793029785,0.2039208859205246,0.19990238547325134,0.0019185300916433334,34.37783610394443,0.002,1.0,30.0,30.0,8.0,40.0
1,60,0.008879233901004768,0.8129202723503113,0.11603358387947083,0.12120989710092545,0.11522433906793594,0.0003720980603247881,31.14549259846799,0.002,1.0,30.0,30.0,8.0,40.0
1,70,0.0008296016437012107,0.8173466324806213,0.080956369638443,0.14004531502723694,0.13347162306308746,0.0004426066589076072,29.66479655035225,0.002,1.0,30.0,30.0,8.0,40.0
1,80,0.0574976918907244,0.811119019985199,0.0733831450343132,0.10001903772354126,0.09165994822978973,0.00019498911569826305,29.30213354531964,0.002,1.0,30.0,30.0,8.0,40.0
1,90,0.01650266439444216,0.8100011944770813,0.10537945479154587,0.1170806959271431,0.10796308517456055,0.00047669591731391847,30.371951724402354,0.002,1.0,30.0,30.0,8.0,40.0
1,100,0.0006195566009422439,0.8128585815429688,0.04243728518486023,0.11343420296907425,0.10604828596115112,0.00017110553744714707,28.130199225154332,0.002,1.0,30.0,30.0,8.0,40.0
1,110,0.001906696090364339,0.815829336643219,0.04637434333562851,0.16532380878925323,0.15840908885002136,0.00045569479698315263,28.760800262291916,0.002,1.0,30.0,30.0,8.0,40.0
1,120,0.008350796067196803,0.8125824332237244,0.10380803048610687,0.14535214006900787,0.13852696120738983,0.00022308446932584047,30.81321445955752,0.002,1.0,30.0,30.0,8.0,40.0
1,130,0.0010919173404185028,0.8108699917793274,0.06474366784095764,0.08105501532554626,0.07356704026460648,7.417345477733761e-05,28.466113443468984,0.002,1.0,30.0,30.0,8.0,40.0
1,140,0.016795680163045303,0.8099976778030396,0.02127220667898655,0.16405822336673737,0.15652473270893097,0.0010681472485885024,27.81410193776826,0.002,1.0,30.0,30.0,8.0,40.0
1,150,0.014498344785050738,0.8110162019729614,0.030024677515029907,0.08953019231557846,0.08049427717924118,8.755508315516636e-05,27.410139327994255,0.002,1.0,30.0,30.0,8.0,40.0
1,160,0.00346147084817787,0.8101119995117188,0.03203711286187172,0.08875789493322372,0.08069179207086563,0.00011461844405857846,27.347330268346948,0.002,1.0,30.0,30.0,8.0,40.0
1,170,0.0047465263846841405,0.8110427856445312,0.03612541779875755,0.08657688647508621,0.07756126672029495,0.0001012478896882385,27.569203608830097,0.002,1.0,30.0,30.0,8.0,40.0
1,180,0.003224521668586176,0.8102143406867981,0.01908755861222744,0.08196718245744705,0.07311941683292389,5.6757406127871946e-05,26.74959621476603,0.002,1.0,30.0,30.0,8.0,40.0
1,190,0.0023270089349292024,0.8100042343139648,0.01089890580624342,0.11039145290851593,0.10163035243749619,0.00023195204266812652,26.75357990679085,0.002,1.0,30.0,30.0,8.0,40.0
1,200,0.002072746685662028,0.8129579424858093,0.06152534857392311,0.17537564039230347,0.16925786435604095,0.0004249764606356621,29.335591029463394,0.0019,1.0,30.0,30.0,8.0,40.0
1,210,0.004083191333800928,0.8100008368492126,0.00942414440214634,0.2458769977092743,0.23887982964515686,0.0019195106578990817,28.020599875892866,0.0019,1.0,30.0,30.0,8.0,40.0
1,220,0.0040973404674658955,0.8100016117095947,0.0077250562608242035,0.1887637972831726,0.1806701421737671,0.0009694117470644414,27.270876620664183,0.0019,1.0,30.0,30.0,8.0,40.0
1,230,0.011250930900630542,0.8100033402442932,0.04039141163229942,0.1447271853685379,0.13566628098487854,0.0006521512405015528,27.967937810029568,0.0019,1.0,30.0,30.0,8.0,40.0
1,240,0.0047399049524449914,0.8100083470344543,0.012274118140339851,0.09935810416936874,0.08996614068746567,0.0002915780642069876,26.591371736265742,0.0019,1.0,30.0,30.0,8.0,40.0
1,250,0.0006821451347598157,0.8102364540100098,0.013417999260127544,0.07987359166145325,0.07062415778636932,6.718987424392253e-05,26.385406670557586,0.0019,1.0,30.0,30.0,8.0,40.0
1,260,0.0018669015718028603,0.810019314289093,0.02675733156502247,0.08507965505123138,0.07545485347509384,0.00011107706814073026,26.907578548738556,0.0019,1.0,30.0,30.0,8.0,40.0
1,270,0.007384283254036576,0.81000816822052,0.007252737879753113,0.11836523562669754,0.10928747057914734,0.00038449178100563586,26.561651484079544,0.0019,1.0,30.0,30.0,8.0,40.0
1,280,0.0012943479233298812,0.810012698173523,0.014929228462278843,0.17991425096988678,0.17139184474945068,0.0008611569064669311,27.349482600998808,0.0019,1.0,30.0,30.0,8.0,40.0
1,290,0.0008332423162208753,0.8118419051170349,0.004225778393447399,0.11888187378644943,0.11040731519460678,0.0003004985919687897,26.43753748205967,0.0019,1.0,30.0,30.0,8.0,40.0
1,300,0.006224560256046007,0.8102397918701172,0.004878079518675804,0.07530052959918976,0.06589894741773605,7.285835454240441e-05,26.0002546907802,0.0019,1.0,30.0,30.0,8.0,40.0
1,310,0.0014602993898433173,0.8101515173912048,0.06428621709346771,0.0746506005525589,0.06530957669019699,5.491269985213876e-05,27.87333221966325,0.0019,1.0,30.0,30.0,8.0,40.0
1,320,0.0011887401564813832,0.810294508934021,0.02633569948375225,0.07914900034666061,0.07011912763118744,8.471142791677266e-05,26.804076225526348,0.0019,1.0,30.0,30.0,8.0,40.0
1,330,0.0025118570874972197,0.8101903796195984,0.02099538967013359,0.07286573201417923,0.06344415247440338,6.256962660700083e-05,26.49117160648713,0.0019,1.0,30.0,30.0,8.0,40.0
1,340,0.0016097281937366855,0.8100225329399109,0.032443512231111526,0.07651477307081223,0.0675363689661026,6.636349280597642e-05,26.891008276607476,0.0019,1.0,30.0,30.0,8.0,40.0
1,350,0.012702980136378987,0.8100361227989197,0.03705628588795662,0.06985187530517578,0.060808297246694565,5.4617739806417376e-05,27.045001283636662,0.0019,1.0,30.0,30.0,8.0,40.0
1,360,0.010340825545977837,0.8100157380104065,0.021605394780635834,0.08227164298295975,0.07356338202953339,8.923075802158564e-05,26.60606386824939,0.0019,1.0,30.0,30.0,8.0,40.0
1,370,0.005753467824156789,0.8100264072418213,0.038816776126623154,0.07785467058420181,0.06907473504543304,6.108083471190184e-05,27.12119173557648,0.0019,1.0,30.0,30.0,8.0,40.0
1,380,0.005787244420727694,0.8100980520248413,0.021523181349039078,0.06889249384403229,0.05982130393385887,4.70784907520283e-05,26.51222946850009,0.0019,1.0,30.0,30.0,8.0,40.0
1,390,0.0006964167546716434,0.8100503087043762,0.03508807346224785,0.07309920340776443,0.0641784518957138,4.845127114094794e-05,26.934613102824223,0.0019,1.0,30.0,30.0,8.0,40.0
