epoch,pde_loss,bc_loss,ic_loss,obs_loss,total_loss,learning_rate
10,5.308865547180176,31.151100158691406,10.414047241210938,9.674358367919922,51.29259490966797,1e-05
20,5.252776622772217,31.028705596923828,10.328299522399902,9.575243949890137,50.984779357910156,1e-05
30,5.131406784057617,30.905799865722656,10.242485046386719,9.476014137268066,50.67561340332031,1e-05
40,4.994222640991211,30.781585693359375,10.156188011169434,9.376327514648438,50.364044189453125,1e-05
50,4.860342502593994,30.655353546142578,10.069046974182129,9.275931358337402,50.04893493652344,1e-05
60,4.736442565917969,30.526445388793945,9.980716705322266,9.174542427062988,49.729068756103516,1e-05
70,4.625487327575684,30.394275665283203,9.890847206115723,9.071803092956543,49.40318298339844,1e-05
80,4.525681495666504,30.258392333984375,9.799123764038086,8.967328071594238,49.07010269165039,1e-05
90,4.428114414215088,30.11847496032715,9.705288887023926,8.860761642456055,48.72880554199219,1e-05
100,4.318810939788818,29.97427749633789,9.609145164489746,8.75180721282959,48.37841796875,1e-05
110,4.186391830444336,29.82559585571289,9.510534286499023,8.640246391296387,48.01824188232422,1e-05
120,4.032485485076904,29.672243118286133,9.409344673156738,8.525920867919922,47.64783477783203,1e-05
130,3.874586582183838,29.51405906677246,9.305489540100098,8.408730506896973,47.267024993896484,1e-05
140,3.7364635467529297,29.35089683532715,9.198912620544434,8.288614273071289,46.87578582763672,1e-05
150,3.6370294094085693,29.182636260986328,9.089581489562988,8.165548324584961,46.47413635253906,1e-05
160,3.589061975479126,29.00918197631836,8.977489471435547,8.039545059204102,46.062103271484375,1e-05
170,3.604137659072876,28.83047103881836,8.862652778625488,7.910648822784424,45.63981246948242,1e-05
180,3.6953022480010986,28.646453857421875,8.745110511779785,7.778931140899658,45.20744705200195,1e-05
190,3.8751718997955322,28.457130432128906,8.62492847442627,7.644485950469971,44.765296936035156,1e-05
200,4.153800010681152,28.262508392333984,8.502191543579102,7.507434368133545,44.31367111206055,1e-05
210,4.538513660430908,28.062633514404297,8.376996040344238,7.36791467666626,43.85293197631836,1e-05
220,5.03804874420166,27.857566833496094,8.24946117401123,7.2260870933532715,43.38349533081055,1e-05
230,5.672957420349121,27.64738655090332,8.119718551635742,7.082129955291748,42.905967712402344,1e-05
240,6.486654281616211,27.43218231201172,7.98790979385376,6.936234951019287,42.42119216918945,1e-05
250,7.541866302490234,27.21206283569336,7.85418701171875,6.788616180419922,41.9302864074707,1e-05
260,8.897680282592773,26.987136840820312,7.718708038330078,6.6394944190979,41.43431854248047,1e-05
270,10.587769508361816,26.757511138916016,7.581641674041748,6.4891037940979,40.93413543701172,1e-05
280,12.622366905212402,26.523326873779297,7.4431586265563965,6.337683200836182,40.43039321899414,1e-05
290,15.007110595703125,26.28470230102539,7.303430557250977,6.185479640960693,39.923683166503906,1e-05
300,17.75678062438965,26.041786193847656,7.162637710571289,6.032738208770752,39.414730072021484,1e-05
310,20.89504623413086,25.794715881347656,7.020957946777344,5.879705429077148,38.904327392578125,1e-05
320,24.44816780090332,25.54364585876465,6.878567218780518,5.726621627807617,38.39331817626953,1e-05
330,28.44107437133789,25.288738250732422,6.735649108886719,5.573726654052734,37.88252639770508,1e-05
340,32.89466094970703,25.030166625976562,6.592381954193115,5.421253204345703,37.37274932861328,1e-05
350,37.82671356201172,24.768096923828125,6.448946475982666,5.269429683685303,36.86473846435547,1e-05
360,43.25257110595703,24.502716064453125,6.305522441864014,5.118483066558838,36.359249114990234,1e-05
370,49.1886100769043,24.234222412109375,6.162288665771484,4.968636512756348,35.857032775878906,1e-05
380,55.65315628051758,23.96281623840332,6.019425868988037,4.820111274719238,35.35888671875,1e-05
390,62.66995620727539,23.688701629638672,5.877108097076416,4.6731276512146,34.86563491821289,1e-05
400,70.27064514160156,23.41207504272461,5.735507965087891,4.5279011726379395,34.37819290161133,1e-05
410,78.49559020996094,23.133167266845703,5.594789981842041,4.384644985198975,33.89755630493164,1e-05
420,87.39686584472656,22.852161407470703,5.455113887786865,4.243563175201416,33.424808502197266,1e-05
430,97.03524017333984,22.569284439086914,5.316625118255615,4.104851722717285,32.96111297607422,1e-05
440,107.48279571533203,22.28473663330078,5.1794657707214355,3.9686927795410156,32.507720947265625,1e-05
450,118.8205795288086,21.998727798461914,5.043764591217041,3.835253953933716,32.06595230102539,1e-05
460,131.13670349121094,21.711462020874023,4.909637928009033,3.70469069480896,31.637157440185547,1e-05
470,144.5275115966797,21.42315673828125,4.777194499969482,3.577138662338257,31.22276496887207,1e-05
480,159.0924530029297,21.134023666381836,4.646529674530029,3.4527206420898438,30.824199676513672,1e-05
490,174.93621826171875,20.84425163269043,4.517721652984619,3.3315417766571045,30.4428768157959,1e-05
500,192.17181396484375,20.554040908813477,4.390836715698242,3.213690757751465,30.08028793334961,1e-05
510,210.9147491455078,20.26358413696289,4.265923023223877,3.099238395690918,29.737892150878906,1e-05
520,231.28366088867188,19.97304344177246,4.143008708953857,2.988237142562866,29.41712760925293,1e-05
530,253.4027862548828,19.682588577270508,4.022103786468506,2.880720853805542,29.11944007873535,1e-05
540,277.3978576660156,19.39235496520996,3.9031970500946045,2.7767021656036377,28.846233367919922,1e-05
550,303.3971862792969,19.102468490600586,3.7862548828125,2.676170587539673,28.598865509033203,1e-05
560,331.529052734375,18.813045501708984,3.6712234020233154,2.579094648361206,28.378652572631836,1e-05
570,361.91668701171875,18.5241756439209,3.5580294132232666,2.4854207038879395,28.186792373657227,1e-05
580,394.68072509765625,18.235939025878906,3.4465811252593994,2.3950698375701904,28.024396896362305,1e-05
590,429.93267822265625,17.948400497436523,3.336771011352539,2.3079450130462646,27.89244270324707,1e-05
600,467.7728271484375,17.66160774230957,3.228480100631714,2.2239255905151367,27.79174041748047,1e-05
610,508.2852783203125,17.375619888305664,3.1215810775756836,2.1428744792938232,27.722929000854492,1e-05
